index,Enzyme:,Reaction:,T(K),pH ,I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1454, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),298.1,7.00,0.47,1.4E-6,Engel P.C.; Dalziel K.; Biochem. J.; 105 691 (1967).,67ENG/DAL_276," 1.4.1.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate
1455, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.79,0.471,1.12E-6,,,,,
1456, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.82,0.0445,5.81E-7,,,,,
1457, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.83,0.0245,4.22E-7,,,,,
1458, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.89,0.067,6.31E-7,,,,,
1459, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.90,0.055,5.62E-7,,,,,
1460, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.90,0.055,6.37E-7,,,,,
1461, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.90,0.101,7.51E-7,,,,,
1462, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.90,0.233,1.24E-6,,,,,
1463, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.90,0.471,1.49E-6,,,,,
1464, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.90,0.471,1.51E-6,,,,,
1465, glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),300.15,6.90,0.471,1.52E-6,,,,,
