index,Enzyme:,Reaction:,T(K),pH ,"m(MgCl2,mol.kg<sup>-1</sup>)",I<sub>m</sub>(mol.kg<sup>-1</sup>),δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
3783, alkaline phosphatase, IMP(aq) + H2O(l) = inosine(aq) + orthophosphate(aq),298.15,8.15,0.0010,0.083,1.54,Larson J.W.; Tewari Y.B.; Goldberg R.N.; J. Chem. Thermodyn. 25 73 (1993).,93LAR/TEW_785," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris + HCl
3784, alkaline phosphatase, IMP(aq) + H2O(l) = inosine(aq) + orthophosphate(aq),298.15,8.55,0.0010,0.063,-0.62,,,,,
3785, alkaline phosphatase, IMP(aq) + H2O(l) = inosine(aq) + orthophosphate(aq),298.15,9.14,0.0010,0.045,-1.89,,,,,
3786, alkaline phosphatase, IMP(aq) + H2O(l) = inosine(aq) + orthophosphate(aq),304.55,7.92,0.0010,0.087,-1.83,,,,,
3787, alkaline phosphatase, IMP(aq) + H2O(l) = inosine(aq) + orthophosphate(aq),310.15,7.81,0.0010,0.087,2.30,,,,,
