index,Enzyme:,Reaction:,T(K),pH ,solvent ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1433, aconitate hydratase, citrate(aq) = cis-aconitate(aq) + H2O(l),298.15,7.4,D2O,0.042,Thomson J.F.; Nance S.L.; Bush K.J.; Szczepanik P.A.; Arch. Biochem. Biophys.; 117 65 (1966).,66THO/NAN_1158," 4.2.1.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.033 mol dm-3) + HCl
1434, aconitate hydratase, citrate(aq) = cis-aconitate(aq) + H2O(l),298.15,7.4,H2O,0.046,,,,,
