index,Enzyme:,Reaction:,T(K),pH ,I<sub>m</sub>(mol.kg<sup>-1</sup>),δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2323, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,6.69,0.22,-52.0,Goldberg R.N.; Biophys. Chem.; 3 192 (1975).,75GOL_546," 2.7.1.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris + HCl
2324, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,6.71,0.23,-44.0,,,,,
2325, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,6.75,0.48,-41.8,,,,,
2326, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,7.06,0.23,-57.7,,,,,
2327, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,7.25,0.22 ,-62.9,,,,,
2328, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,7.45,0.20 ,-67.8,,,,,
2329, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,7.46,0.21,-67.7,,,,,
2330, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,7.64,0.21 ,-69.8,,,,,
2331, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,7.67,0.19 ,-69.2,,,,,
2332, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,7.84,0.18 ,-69.6,,,,,
2333, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,7.99,0.17 ,-70.4,,,,,
2334, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.00,0.16 ,-68.9,,,,,
2335, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.09,0.16 ,-71.6,,,,,
2336, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.20,0.13 ,-71.3,,,,,
2337, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.41,0.10 ,-69.2,,,,,
2338, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.41,0.15 ,-70.2,,,,,
2339, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.42,0.10 ,-70.4,,,,,
2340, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.44,0.11 ,-71.4,,,,,
2341, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.54,0.10 ,-71.1,,,,,
2342, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.56,0.17 ,-72.7,,,,,
2343, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.64,0.12 ,-73.7,,,,,
2344, hexokinase, ATP(aq) + D-glucose(aq) = ADP(aq) + D-glucose 6-phosphate(aq),298.19,8.65,0.019,-68.4,,,,,
