index,Enzyme:,Reaction:,T(K),pH ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
947, ribose-5-phosphate isomerase, D-ribose 5-phosphate(aq) = D-ribulose 5-phosphate(aq),273.15,7.5,0.31,Bruns F.H.; Noltmann E.; Vahlhaus E.; Biochem. Z.; 330 483 (1958).,58BRU/NOL_1334," 5.3.1.6                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris
948, ribose-5-phosphate isomerase, D-ribose 5-phosphate(aq) = D-ribulose 5-phosphate(aq),310.15,7.5,0.28,,,,,
