index,Enzyme:,Reaction:,T(K),pH ,K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2112, histidine ammonia-lyase, L-histidine(aq) = urocanate(aq) + ammonia(aq),303.2,7.2,0.016,McClard R.W.; Kolenbrander H.M.; Can. J. Biochem.; 51 556 (1973).,73MCC/KOL_1216," 4.3.1.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry and thin layer chromatography, phosphate (0.040 mol dm-3)
2113, histidine ammonia-lyase, L-histidine(aq) = urocanate(aq) + ammonia(aq),305.3,7.2,0.025,,,,,
2114, histidine ammonia-lyase, L-histidine(aq) = urocanate(aq) + ammonia(aq),308.2,7.2,0.028,,,,,
2115, histidine ammonia-lyase, L-histidine(aq) = urocanate(aq) + ammonia(aq),311.3,7.2,0.040,,,,,
2116, histidine ammonia-lyase, L-histidine(aq) = urocanate(aq) + ammonia(aq),316.4,7.2,0.10,,,,,
