index,Enzyme:,Reaction:,T(K),pH ,buffer ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
3130, acetylcholinesterase, acetylcholine(aq) + H2O(l) = acetate(aq) + choline(aq),310.15,7.2,phosphate,-4.4,Das Y.T.; Brown H.D.; Chattopadhyay S.K.; Biophys. Chem.; 23 105 (1985).,85DAS/BRO_746," 3.1.1.7                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate (0.1 mol dm-3)
3131, acetylcholinesterase, acetylcholine(aq) + H2O(l) = acetate(aq) + choline(aq),310.15,?,none,-3.90,,,,,
