index,Enzyme:,Reaction:,T(K),pH ,buffer and/or salt ,I<sub>c</sub>(mol dm<sup>-3</sup>),δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
743, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.40,NaCl + Tris,2.001,-26.7,Forrest W.W.; Gutfreund H.; Sturtevant J.M.; J. Am. Chem. Soc.; 78 1349 (1956).,56FOR/GUT_977," 3.4.21.4                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate Tris and NH4Cl
744, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.45,phosphate,0.01256,-25.9,,,,,
745, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.49,NaCl,2.001,-26.9,,,,,
746, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.50,NH4Cl + CaCl2,0.165,-27.2,,,,,
747, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.50,phosphate,0.00057,-24.8,,,,,
748, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.55,NaCl,2.001,-26.5,,,,,
749, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.60,none,0.00065,-25.1,,,,,
750, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.62,phosphate,0.00247,-26.7,,,,,
751, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.67,NaCl + Tris,2.001,-26.2,,,,,
752, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.67,NaCl + Tris,2.001,-27.4,,,,,
753, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.78,NH4Cl,0.00271,-25.5,,,,,
754, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.81,NaCl,0.01060,-26.7,,,,,
755, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.82,NaCl,0.01060,-27.2,,,,,
756, trypsin, NÎ±-benzoyl-L-argininamide(aq) + H2O(l) = NÎ±-benzoyl-L-arginine(aq) + ammonia(aq),298.15,6.82,NH4Cl,0.00081,-26.0,,,,,
