index,Enzyme:,Reaction:,T(K),pH ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1014, D-xylulose reductase, L-iditol(aq) + NAD(aq) = L-sorbose(aq) + NADH(aq),298.15,7.00,4.23E-3,Hollmann S.; Hoppe-Seyler's Z. Physiol. Chem.; 317 193 (1959).,59HOL_48," 1.1.1.9                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.05 mol dm-3)
1015, D-xylulose reductase, L-iditol(aq) + NAD(aq) = L-sorbose(aq) + NADH(aq),298.15,8.00,4.23E-2,,,,,
