index,Enzyme:,Reaction:,T(K),pH ,δ<sub>r</sub>H'<sup>o</sup>(kJ.mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2307," 3',5'-cyclic-nucleotide phosphodiesterase", adenosine 3':5'-(cyclic)phosphate(aq) + H2O(l) = AMP(aq),298.15,7.2,-50.6,Gerlt J.A.; Westheimer F.H.; Sturtevant J.M.; J. Biol. Chem.; 250 5059 (1975).,75GER/WES_838," 3.1.4.17                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, potassium phosphate (0.036 mol dm-3)
2308," 3',5'-cyclic-nucleotide phosphodiesterase", adenosine 3':5'-(cyclic)phosphate(aq) + H2O(l) = AMP(aq),310.15,7.3,-55.4,,,,,
