index,Enzyme:,Reaction:,T(K),pH ,I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1722, malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+), (S)-malate(aq) + NADP(aq) + H2O(l) = pyruvate(aq) + NADPH(aq) + carbon dioxide(aq),311.15,7.0,0.03,0.0558,"Veech R.L.; ""Measurement of Respiratory Metabolism in Animal Tissues""; Thesis Oxford University (1968).",68VEE_148," 1.1.1.40                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, NaHCO3 (0.025 mol dm-3)
1723, malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+), (S)-malate(aq) + NADP(aq) + H2O(l) = pyruvate(aq) + NADPH(aq) + carbon dioxide(aq),311.15,7.0,0.25,0.0344,,,,,
