index,Enzyme:,Reaction:,T(K),pH ,"c(MgCl2,mol dm<sup>-3</sup>)",K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2131, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,6.64,0.000,9.51,Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167," 4.2.1.3                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and fluorimetry, phosphate
2132, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,6.64,0.047,10.3,,,,,
2133, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,6.64,0.700,15.8,,,,,
2134, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,6.64,2.30,29.5,,,,,
2135, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,6.64,6.90,46.0,,,,,
2136, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0.000,9.83,,,,,
2137, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0.009,9.92,,,,,
2138, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0.047,10.0,,,,,
2139, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0.047,10.6,,,,,
2140, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0.094,11.0,,,,,
2141, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0.230,12.2,,,,,
2142, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0.470,13.9,,,,,
2143, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0.700,16.1,,,,,
2144, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0.700,17.1,,,,,
2145, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0.930,18.0,,,,,
2146, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,0,9.89,,,,,
2147, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,10.0,52.3,,,,,
2148, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,12.3,57.9,,,,,
2149, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,2.30,28.8,,,,,
2150, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,2.30,28.8,,,,,
2151, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,3.60,37.2,,,,,
2152, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,4.50,43.6,,,,,
2153, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,6.90,47.0,,,,,
2154, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,6.90,47.5,,,,,
2155, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.07,8.50,46.0,,,,,
2156, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.45,0.000,9.48,,,,,
2157, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.45,0.047,9.95,,,,,
2158, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.45,0.700,14.8,,,,,
2159, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.45,2.30 ,27.6,,,,,
2160, aconitate hydratase, isocitrate(aq) = citrate(aq),311.15,7.45,6.90,46.6,,,,,
