index,Enzyme:,Reaction:,T(K),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
111, _-glucosidase, ethyl Î²-D-glucopyranoside(aq) + H2O(l) = ethanol(aq) + D-glucose(aq),277.15,7.08,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_917," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,
112, _-glucosidase, ethyl Î²-D-glucopyranoside(aq) + H2O(l) = ethanol(aq) + D-glucose(aq),303.15,7.88,,,,,
