index,Enzyme:,Reaction:,T(K),pH ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3154, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,6.39,2.22E-2,"Liegel J.; ""The Equilibrium Constant for the Glycine Synthase Reaction""; Thesis The University of Texas (1985).",85LIE_292," 1.4.4.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry and enzymatic assay,
3155, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,6.39,3.10E-2,,,,,
3156, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,6.62,2.21E-2,,,,,
3157, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,6.80,3.01E-2,,,,,
3158, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,6.83,4.65E-2,,,,,
3159, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,6.99,3.28E-2,,,,,
3160, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,6.99,3.44E-2,,,,,
3161, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,6.99,5.11E-2,,,,,
3162, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,7.01,3.02E-2,,,,,
3163, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,7.03,1.40E-2,,,,,
3164, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,7.04,1.40E-2,,,,,
3165, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,7.17,2.40E-2,,,,,
3166, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,7.18,1.97E-2,,,,,
3167, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,7.20,2.29E-2,,,,,
3168, glycine dehydrogenase (decarboxylating), glycine(aq) + Î±-lipoate(aq) = S-aminomethyldihydro-Î±-lipoate(aq) + carbon dioxide(aq),311.15,7.79,8.29E-3,,,,,
