index,Enzyme:,Reaction:,T(K),pH ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2491, urease, urea(aq) + 2 H2O(l) = 2 ammonia(aq) + carbon dioxide(aq),300.15,7.0,-7.1,Schmidt H.-L.; Krisam G.; Grenner G.; Biochim. Biophys. Acta; 429 283 (1976).,76SCH/KRI_1000," 3.5.1.5                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris (0.05 mol dm-3) + HCl
2492, urease, urea(aq) + 2 H2O(l) = 2 ammonia(aq) + carbon dioxide(aq),300.15,8.0,-8.4,,,,,
