index,Enzyme:,Reaction:,T(K),pH ,"c(MgCl2,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2414, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.85,0.0150,0.25,40.0,Guynn R.W.; J. Biol. Chem.; 251 7162 (1976).,76GUY_807," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris + HCl
2415, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.86,0.0141,0.25,39.3,,,,,
2416, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.87,0.0087,0.25,35.7,,,,,
2417, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.88,0.0050,0.25,41.3,,,,,
2418, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.88,0.0050,0.25,43.1,,,,,
2419, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.88,0.0050,0.25,44.5,,,,,
2420, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.88,0.0050,0.25,44.7,,,,,
2421, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.88,0.0114,0.25,38.9,,,,,
2422, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.89,0.0050,0.25,39.9,,,,,
2423, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0005,0.25,46.9,,,,,
2424, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0005,0.25,49.0,,,,,
2425, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0014,0.25,49.6,,,,,
2426, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0017,0.25,44.6,,,,,
2427, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0026,0.25,45.0,,,,,
2428, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0029,0.25,49.9,,,,,
2429, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0050,0.25,34.4,,,,,
2430, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0050,0.25,34.4,,,,,
2431, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0056,0.25,43.3,,,,,
2432, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0065,0.25,51.4,,,,,
2433, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0082,0.25,37.3,,,,,
2434, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.90,0.0120,0.25,38.3,,,,,
2435, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.91,0.0005,0.25,29.9,,,,,
2436, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.92,0.0047,0.25,36.8,,,,,
2437, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.94,0.0005,0.25,36.1,,,,,
2438, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.94,0.0005,0.25,36.5,,,,,
2439, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.94,0.0005,0.25,37.6,,,,,
2440, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.94,0.0019,0.25,39.0,,,,,
2441, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.95,0.0005,0.25,34.6,,,,,
2442, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.95,0.0005,0.25,39.4,,,,,
2443, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.95,0.0005,0.25,39.9,,,,,
2444, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.95,0.0005,0.25,40.1,,,,,
2445, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,6.95,0.0121,0.25,37.4,,,,,
2446, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.08,0.0005,0.25,31.6,,,,,
2447, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.08,0.0005,0.25,32.4,,,,,
2448, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.09,0.0005,0.25,28.2,,,,,
2449, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.09,0.0005,0.25,30.4,,,,,
2450, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.15,0.0050,0.25,35.9,,,,,
2451, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.15,0.0050,0.25,36.9,,,,,
2452, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.16,0.0050,0.25,34.0,,,,,
2453, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.22,0.0005,0.25,26.7,,,,,
2454, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.23,0.0005,0.25,31.3,,,,,
2455, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.23,0.0005,0.25,34.1,,,,,
2456, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.32,0.0050,0.25,33.5,,,,,
2457, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.32,0.0050,0.25,34.4,,,,,
2458, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.35,0.0050,0.25,33.6,,,,,
2459, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.35,0.0050,0.25,36.8,,,,,
2460, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.92,0.0005,0.25,24.1,,,,,
2461, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.92,0.0005,0.25,25.5,,,,,
2462, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.99,0.0005,0.25,21.6,,,,,
2463, alkaline phosphatase, phosphorylcholine(aq) + H2O(l) = choline(aq) + orthophosphate(aq),311.15,7.99,0.0005,0.25,28.9,,,,,
