index,Enzyme:,Reaction:,T(K),pH ,"c(MgCl2,mol dm<sup>-3</sup>)",K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1786, fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)",311.15,~6.7,0.005,9.9E-5,Veech R.L.; Raijman L.; Dalziel K.; Krebs H.A.; Biochem. J.; 115 837 (1969).,69VEE/RAI_1094," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium phosphate (0.010 mol dm-3)
1787, fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)",311.15,~6.7,0.050,5.6E-5,,,,,
