index,Enzyme:,Reaction:,T(K),pH ,buffer ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3376, 6-phosphofructokinase," ATP(aq) + D-fructose 6-phosphate(aq) = ADP(aq) + D-fructose 1,6-bisphosphate(aq)",303.15,6.8,imidazole,150,Rao G.S.J.; Harris B.G.; Cook P.F.; J. Biol. Chem.; 262 14074 (1987).,87RAO/HAR_555," 2.7.1.11                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, {imidazole (0.10 mol dm-3) + HCl} and {Tris (0.10 mol dm-3) + HCl}
3377, 6-phosphofructokinase," ATP(aq) + D-fructose 6-phosphate(aq) = ADP(aq) + D-fructose 1,6-bisphosphate(aq)",303.15,8.0,Tris,2900,,,,,
