index,Enzyme:,Reaction:,T(K),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
107, _-glucosidase, 1-butyl Î²-D-glucopyranoside(aq) + H2O(l) = 1-butanol(aq) + D-glucose(aq),277.15,8.63,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_914," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,
108, _-glucosidase, 1-butyl Î²-D-glucopyranoside(aq) + H2O(l) = 1-butanol(aq) + D-glucose(aq),303.15,9.48,,,,,
