index,Enzyme:,Reaction:,T(K),pH ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
3491, alkaline phosphatase, D-mannose 6-phosphate(aq) + H2O(l) = D-mannose(aq) + orthophosphate(aq),298.15,8.6,1.78,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; Gitomer W.L.; J. Biol. Chem.; 263 3670 (1988).,88TEW/STE2_787," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris
3492, alkaline phosphatase, D-mannose 6-phosphate(aq) + H2O(l) = D-mannose(aq) + orthophosphate(aq),304.65,8.6,1.48,,,,,
3493, alkaline phosphatase, D-mannose 6-phosphate(aq) + H2O(l) = D-mannose(aq) + orthophosphate(aq),310.15,8.6,1.22,,,,,
