index,Enzyme:,Reaction:,T(K),pH ,buffer ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2127, phosphohydrolase (unclassified), trimethylene phosphate(aq) + H2O(l) = 3-hydroxypropyl phosphate(aq),298.15,7.3,Pipes,-24.8,Sturtevant J.M.; Gerlt J.A.; Westheimer F.H.; J. Am. Chem. Soc.; 95 8168 (1973).,73STU/GER_849," 3.1.4.-                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Pipes (0.05 mol dm-3) and Tris (0.05 mol dm-3)
2128, phosphohydrolase (unclassified), trimethylene phosphate(aq) + H2O(l) = 3-hydroxypropyl phosphate(aq),298.15,7.3,Tris,-54.4,,,,,
