index,Enzyme:,Reaction:,T(K),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
121, _-glucosidase, 2-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-propanol(aq) + D-glucose(aq),277.15,19.0,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_926," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,
122, _-glucosidase, 2-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-propanol(aq) + D-glucose(aq),303.15,22.7,,,,,
