index,Enzyme:,Reaction:,T(K),pH ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
1585, alkaline phosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),298.15,6.76,-15.5,Wu C.-H.; Witonsky R.J.; George P.; Rutman R.J.; J. Am. Chem. Soc.; 89 1987 (1967).,67WU/WIT_811," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, none
1586, alkaline phosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),298.15,6.88,-14.6,,,,,
1587, alkaline phosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),298.15,6.89,-16.3,,,,,
1588, alkaline phosphatase, pyrophosphate(aq) + H2O(l) = 2 orthophosphate(aq),298.15,6.93,-14.6,,,,,
