index,Enzyme:,Reaction:,T(K),pH ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
1341," glucan 1,4-a-glucosidase", maltose(aq) + H2O(l) = 2 D-glucose(aq),298.15,4.5,-4.59,Ono S.; Hiromi K.; Takahashi K.; J. Biochem. (Tokyo); 57 799 (1965).,65ONO/HIR_892," 3.2.1.3                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, acetate (0.02 mol dm-3)
1342," glucan 1,4-a-glucosidase", maltose(aq) + H2O(l) = 2 D-glucose(aq),308.15,4.5,-4.75,,,,,
