index,Enzyme:,Reaction:,T(K),solvent ,K ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3922, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-undecanol(sln) = (R)-2-undecyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,acetonitrile,0.026,Hirata H.; Mayama M.; Kasahara A.; Yanagishita H.; Sugiura M.; Nihon Yukagakkaishi; 45 761 (1996),96HIR/MAY_736," 3.1.1.3                                                    (ENZYME |                                                 KEGG)                                                ", HPLC and GC,
3923, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-undecanol(sln) = (R)-2-undecyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,benzene,0.017,,,,,
3924, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-undecanol(sln) = (R)-2-undecyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,dioxane,0.022,,,,,
3925, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-undecanol(sln) = (R)-2-undecyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,hexane,0.017,,,,,
