index,Enzyme:,Reaction:,T(K),pH ,K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2773, penicillin amidase, penicillin G(aq) + H2O(l) = 6-aminopenicillanic acid(aq) + phenylacetic acid(aq),298.15,5.0,4.0E-3,Svedas V.K.; Margolin A.L.; Berezin I.V.; Enzyme Microb. Technol.; 2 138 (1980).,80SVE/MAR_1010," 3.5.1.11                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, citrate
2774, penicillin amidase, penicillin G(aq) + H2O(l) = 6-aminopenicillanic acid(aq) + phenylacetic acid(aq),298.15,6.0,2.0E-2,,,,,
