index,Enzyme:,Reaction:,T(K),pH ,buffer ,I<sub>m</sub>(mol.kg<sup>-1</sup>),δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
3961, tannase," 3,4,5-trihydroxybenzoic acid propyl ester(aq) + H2O(l) = 3,4,5-trihydroxybenzoate(aq) + propan-1-ol(aq)",298.15,5.61,phosphate,0.092,-8.33,Tewari Y.B.; Schantz M.M.; Rekharsky M.V.; Goldberg R.N.; J. Chem. Thermodyn.; 28 171 (1996).,96TEW/SCH_751," 3.1.1.20                                                    (ENZYME |                                                 KEGG)                                                ", HPLC, phosphate and Mes
3962, tannase," 3,4,5-trihydroxybenzoic acid propyl ester(aq) + H2O(l) = 3,4,5-trihydroxybenzoate(aq) + propan-1-ol(aq)",298.15,6.18,Mes,0.027,-19.8,,,,,
