index,Enzyme:,Reaction:,T(K),solvent ,K ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3910, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-heptanol(sln) = (R)-2-heptyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,acetonitrile,0.038,Hirata H.; Mayama M.; Kasahara A.; Yanagishita H.; Sugiura M.; Nihon Yukagakkaishi; 45 761 (1996),96HIR/MAY_733," 3.1.1.3                                                    (ENZYME |                                                 KEGG)                                                ", HPLC and GC,
3911, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-heptanol(sln) = (R)-2-heptyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,benzene,0.028,,,,,
3912, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-heptanol(sln) = (R)-2-heptyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,dioxane,0.037,,,,,
3913, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-heptanol(sln) = (R)-2-heptyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,hexane,0.026,,,,,
