index,Enzyme:,Reaction:,T(K),pH ,buffer ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
797, ribulose-biphosphate carboxylase," D-ribulose 1,5-biphosphate(aq) + carbon dioxide(aq) = 2 3-phospho-D-glycerate(aq)",298.15,8.0,triethanolamine,-43.1,Kitzinger C.; Horecker B.L.; Weisbach A; Abstr. 20th Int. Physiol. Congress Brussels (1956).,56KIT/HOR_1085," 4.1.1.39                                                    (ENZYME |                                                 KEGG)                                                ", microcalorimetry, Tris (0.1 mol dm-3) + HCl and triethanolamine
798, ribulose-biphosphate carboxylase," D-ribulose 1,5-biphosphate(aq) + carbon dioxide(aq) = 2 3-phospho-D-glycerate(aq)",298.15,8.0,Tris + HCl,-61.1,,,,,
