index,Enzyme:,Reaction:,T(K),pH ,pMg ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2011, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,1.65,0.317,De Weer P.; Lowe A.G.; J. Biol. Chem.; 248 2829 (1973).,73DEW/LOW_646," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, triethanolamine
2012, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,1.70,0.321,,,,,
2013, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,1.85,0.352,,,,,
2014, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,1.90,0.380,,,,,
2015, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,2.15,0.588,,,,,
2016, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,2.20,0.549,,,,,
2017, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,2.25,0.383,,,,,
2018, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,2.30,0.617,,,,,
2019, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,2.67,0.971,,,,,
2020, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,2.68,0.935,,,,,
2021, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,2.80,0.877,,,,,
2022, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,2.80,1.24,,,,,
2023, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,2.93,1.27,,,,,
2024, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,3.12,1.41,,,,,
2025, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,3.30,1.37,,,,,
2026, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,3.50,1.23,,,,,
2027, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,3.50,1.45,,,,,
2028, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,3.78,1.14,,,,,
2029, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,4.00,0.794,,,,,
2030, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,4.10,0.820,,,,,
2031, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,4.15,0.794,,,,,
2032, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,4.35,0.694,,,,,
2033, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,4.80,0.562,,,,,
2034, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,4.90,0.521,,,,,
2035, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,5.00,0.472,,,,,
2036, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,5.15,0.341,,,,,
2037, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,5.28,0.461,,,,,
2038, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,5.30,0.518,,,,,
2039, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,5.40,0.488,,,,,
2040, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,5.45,0.478,,,,,
2041, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,6.25,0.461,,,,,
2042, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,6.35,0.461,,,,,
2043, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,6.40,0.444,,,,,
2044, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,6.45,0.444,,,,,
2045, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,6.60,0.483,,,,,
2046, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,6.70,0.518,,,,,
2047, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,6.75,0.469,,,,,
2048, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,6.80,0.444,,,,,
2049, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,7.25,0.422,,,,,
2050, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),288.15,7.25,7.40,0.452,,,,,
