index,Enzyme:,Reaction:,T(K),pH ,c(Mg)tot(mol dm<sup>-3</sup>),c(nucleotide)tot(mol dm<sup>-3</sup>),K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1872, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,4.90,5.35E-3,5.0E-3,0.787,Horn A.; Husung R.; Schrvder M.; Bvrnig H.; Acta Biol. Med. Germ. 27 821 (1971).,71HOR/HUS_645," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", paper chromatography and spectrophotometry, triethanolamine (0.1 mol dm-3) + HCl
1873, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,5.00,2.43E-3,5.0E-3,0.662,,,,,
1874, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,5.00,5.35E-3,5.0E-3,0.862,,,,,
1875, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,5.49,2.43E-3,5.0E-3,0.840,,,,,
1876, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,5.57,5.35E-3,5.0E-3,0.826,,,,,
1877, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,5.60,2.43E-3,5.0E-3,0.709,,,,,
1878, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,6.04,5.35E-3,5.0E-3,0.870,,,,,
1879, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,6.06,2.43E-3,5.0E-3,0.909,,,,,
1880, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,6.06,2.43E-3,5.0E-3,1.23,,,,,
1881, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,6.50,5.35E-3,5.0E-3,0.694,,,,,
1882, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,6.56,2.43E-3,5.0E-3,1.11,,,,,
1883, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.0,2.43E-3,5.0E-3,1.09,,,,,
1884, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.0,5.35E-3,5.0E-3,0.699,,,,,
1885, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.0,5.35E-3,5.0E-3,0.752,,,,,
1886, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.5,2.43E-3,5.0E-3,1.14,,,,,
1887, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.5,2.43E-3,5.0E-3,1.15,,,,,
1888, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.5,2.43E-3,5.0E-3,1.28,,,,,
1889, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.5,5.35E-3,5.0E-3,0.704,,,,,
1890, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.6,2.0E-3,2.06E-3,1.01,,,,,
1891, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.6,3.0E-3,3.30E-3,1.03,,,,,
1892, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.6,40.0E-3,3.10E-3,0.265,,,,,
1893, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.6,40.0E-3,3.32E-3,0.272,,,,,
1894, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.6,40.0E-3,6.48E-3,0.279,,,,,
1895, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.6,4.0E-3,4.82E-3,1.04,,,,,
1896, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.6,4.0E-3,4.99E-3,1.09,,,,,
1897, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.6,4.0E-3,6.08E-3,1.14,,,,,
1898, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.6,5.0E-3,0.58E-3,0.534,,,,,
1899, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.9,2.43E-3,5.0E-3,1.23,,,,,
1900, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,7.9,2.43E-3,5.0E-3,1.25,,,,,
1901, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),303.15,8.2,2.43E-3,5.0E-3,1.23,,,,,
