index,Enzyme:,Reaction:,T(K),pH ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
1171, leucyl aminopeptidase, L-tyrosylglycinamide(aq) + H2O(l) = L-tyrosine(aq) + glycinamide(aq),298.15,8.0,-5.4,Rawitscher M.; Wadsv I.; Sturtevant J.M.; J. Am. Chem. Soc.; 83 3180 (1961).,61RAW/WAD_953," 3.4.11.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris (~ 0.04 mol dm-3) + HCl
1172, leucyl aminopeptidase, L-tyrosylglycinamide(aq) + H2O(l) = L-tyrosine(aq) + glycinamide(aq),298.15,8.2 ,-5.3,,,,,
1173, leucyl aminopeptidase, L-tyrosylglycinamide(aq) + H2O(l) = L-tyrosine(aq) + glycinamide(aq),298.15,8.6 ,-5.5,,,,,
