index,Enzyme:,Reaction:,T(K),solvent ,K ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3918, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-octanol(sln) = (R)-2-octyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,acetonitrile,0.029,Hirata H.; Mayama M.; Kasahara A.; Yanagishita H.; Sugiura M.; Nihon Yukagakkaishi; 45 761 (1996),96HIR/MAY_735," 3.1.1.3                                                    (ENZYME |                                                 KEGG)                                                ", HPLC and GC,
3919, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-octanol(sln) = (R)-2-octyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,benzene,0.024,,,,,
3920, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-octanol(sln) = (R)-2-octyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,dioxane,0.028,,,,,
3921, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-octanol(sln) = (R)-2-octyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,hexane,0.022,,,,,
