index,Enzyme:,Reaction:,T(K),solvent ,K ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3902, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-decanol(sln) = (R)-2-decyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,acetonitrile,0.028,Hirata H.; Mayama M.; Kasahara A.; Yanagishita H.; Sugiura M.; Nihon Yukagakkaishi; 45 761 (1996),96HIR/MAY_731," 3.1.1.3                                                    (ENZYME |                                                 KEGG)                                                ", HPLC and GC,
3903, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-decanol(sln) = (R)-2-decyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,benzene,0.018,,,,,
3904, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-decanol(sln) = (R)-2-decyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,dioxane,0.025,,,,,
3905, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-decanol(sln) = (R)-2-decyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,hexane,0.015,,,,,
