index,Enzyme:,Reaction:,T(K),solvent ,K ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3914, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-nonanol(sln) = (R)-2-nonyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,acetonitrile,0.029,Hirata H.; Mayama M.; Kasahara A.; Yanagishita H.; Sugiura M.; Nihon Yukagakkaishi; 45 761 (1996),96HIR/MAY_734," 3.1.1.3                                                    (ENZYME |                                                 KEGG)                                                ", HPLC and GC,
3915, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-nonanol(sln) = (R)-2-nonyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,benzene,0.020,,,,,
3916, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-nonanol(sln) = (R)-2-nonyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,dioxane,0.027,,,,,
3917, triacyglycerol lipase," tributyrylglycerol(sln) + (R)-2-nonanol(sln) = (R)-2-nonyl butyrate(sln) + glycerol-1,2-dibutyrate(sln)",303.15,hexane,0.020,,,,,
