index,Enzyme:,Reaction:,T(K),pH ,buffer ,K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1975, ribonuclease (unclassified), cytidylyl(3'->5')cytidine(aq) = cytidine 2':3'-(cyclic)phosphate(aq) + cytidine(aq),273.15,5.2,acetate,~6,Khabarova M.I.; Zhenodarova S.M.; Mol. Biol. (Moscow); 6 547 (1972).,72KHA/ZHE_863," 3.1.27.-                                                    (ENZYME |                                                 KEGG)                                                ", chromatography electrophoresis and spectrophotometry, acetate (0.2 mol dm-3) imidazole (0.05 mol dm-3) and phosphate (0.2 mol dm-3)
1976, ribonuclease (unclassified), cytidylyl(3'->5')cytidine(aq) = cytidine 2':3'-(cyclic)phosphate(aq) + cytidine(aq),273.15,7.0,imidazole,~5,,,,,
1977, ribonuclease (unclassified), cytidylyl(3'->5')cytidine(aq) = cytidine 2':3'-(cyclic)phosphate(aq) + cytidine(aq),273.15,7.0,phosphate,~5,,,,,
