index,Enzyme:,Reaction:,T(K),pH ,I<sub>m</sub>(mol.kg<sup>-1</sup>),δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
3822, _-lactamase, penicillin G(aq) + H2O(l) = penicillinoic acid(aq),298.15,6.01,0.297,-79.5,Kishore N.; Tewari Y.B.; Yap W.T.; Goldberg R.N.; Biophys. Chem.; 49 163 (1994).,94KIS/TEW_1045," 3.5.2.6                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate
3823, _-lactamase, penicillin G(aq) + H2O(l) = penicillinoic acid(aq),298.15,6.98,0.478,-77.1,,,,,
3824, _-lactamase, penicillin G(aq) + H2O(l) = penicillinoic acid(aq),298.15,7.00,0.279,-78.4,,,,,
3825, _-lactamase, penicillin G(aq) + H2O(l) = penicillinoic acid(aq),298.15,7.01,0.782,-78.9,,,,,
3826, _-lactamase, penicillin G(aq) + H2O(l) = penicillinoic acid(aq),298.15,7.51,0.296,-77.7,,,,,
3827, _-lactamase, penicillin G(aq) + H2O(l) = penicillinoic acid(aq),304.65,6.53,0.253,-77.1,,,,,
3828, _-lactamase, penicillin G(aq) + H2O(l) = penicillinoic acid(aq),310.15,6.53,0.255,-76.5,,,,,
