index,Enzyme:,Reaction:,T(K),pH ,solvent ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1435, aconitate hydratase, isocitrate(aq) = cis-aconitate(aq) + H2O(l),298.15,7.4,D2O,0.44,Thomson J.F.; Nance S.L.; Bush K.J.; Szczepanik P.A.; Arch. Biochem. Biophys.; 117 65 (1966).,66THO/NAN_1161," 4.2.1.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.033 mol dm-3) + HCl
1436, aconitate hydratase, isocitrate(aq) = cis-aconitate(aq) + H2O(l),298.15,7.4,H2O,0.55,,,,,
