index,Enzyme:,Reaction:,T(K),pH ,"c(MnCl2,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1447, phosphoenolpyruvate carboxykinase (GTP), ITP(aq) + oxaloacetate(aq) + H2O(l) = IDP(aq) + phosphoenolpyruvate(aq) + carbon dioxide(aq),298.15,7.03,0.0025,0.1,0.71,Wood H.G.; Davis J.J.; Lochm|ller H.; J. Biol. Chem.; 241 5692 (1966).,66WOO/DAV_1083," 4.1.1.32                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry and enzymatic assay, Tris (0.010 mol dm-3) + HCl
1448, phosphoenolpyruvate carboxykinase (GTP), ITP(aq) + oxaloacetate(aq) + H2O(l) = IDP(aq) + phosphoenolpyruvate(aq) + carbon dioxide(aq),298.15,7.06,0.0025,0.1,0.50,,,,,
1449, phosphoenolpyruvate carboxykinase (GTP), ITP(aq) + oxaloacetate(aq) + H2O(l) = IDP(aq) + phosphoenolpyruvate(aq) + carbon dioxide(aq),298.15,7.80,0.0020,0.1,1.7,,,,,
