index,Enzyme:,Reaction:,T(K),pH ,δ<sub>r</sub>H(kJ.mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2592, glutamate dehydrogenase (NAD(P)+), L-glutamate(aq) + AP-NAD(aq) + H2O(l) = 2-oxoglutarate(aq)+ AP-NADH(aq) + ammonia(aq),298.15,7.6,46.0,Subramanian S.; Biophys. Chem.; 7 375 (1978).,78SUB_279," 1.4.1.3                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate
2593, glutamate dehydrogenase (NAD(P)+), L-glutamate(aq) + AP-NAD(aq) + H2O(l) = 2-oxoglutarate(aq)+ AP-NADH(aq) + ammonia(aq),308.15,7.6,52.3,,,,,
