index,Enzyme:,Reaction:,T(K),pH ,I<sub>m</sub>(mol.kg<sup>-1</sup>),Km' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3772, histidine ammonia-lyase, L-histidine(aq) = urocanate(aq) + ammonia(aq),298.25,8.41,0.167,3.01,Larson J.W.; Tewari Y.B.; Goldberg R.N.; J. Chem. Thermodyn. 25 73 (1993).,93LAR/TEW_1217," 4.3.1.3                                                    (ENZYME |                                                 KEGG)                                                ", HPLC, Tris (0.101 mol kg-1) + HCl
3773, histidine ammonia-lyase, L-histidine(aq) = urocanate(aq) + ammonia(aq),298.25,8.70,0.145,2.35,,,,,
