index,Enzyme:,Reaction:,T(K),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
117, _-glucosidase, 2-methyl-2-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-methyl-2-propanol(aq) + D-glucose(aq),277.15,45.0,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_924," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,
118, _-glucosidase, 2-methyl-2-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-methyl-2-propanol(aq) + D-glucose(aq),303.15,57.0,,,,,
