index,Enzyme:,Reaction:,T(K),pH ,K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1980, ribonuclease (unclassified), guanylyl(3'->5')cytidine(aq) = guanosine 2':3'-(cyclic)phosphate(aq) + cytidine(aq),273.15,4.65,~1,Khabarova M.I.; Zhenodarova S.M.; Mol. Biol. (Moscow); 6 547 (1972).,72KHA/ZHE_866," 3.1.27.-                                                    (ENZYME |                                                 KEGG)                                                ", chromatography electrophoresis and spectrophotometry, acetate (0.2 mol dm-3)
1981, ribonuclease (unclassified), guanylyl(3'->5')cytidine(aq) = guanosine 2':3'-(cyclic)phosphate(aq) + cytidine(aq),273.15,5.2,~6,,,,,
