index,Enzyme:,Reaction:,T(K),pH ,I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1736, glutathione reductase (NAD(P)H), 2 reduced glutathione(aq) + NADP(aq) =  oxidized glutathione(aq) + NADPH(aq),298.15,6.90,0.25,2.42E-2,"Veech R.L.; ""Measurement of Respiratory Metabolism in Animal Tissues""; Thesis Oxford University (1968).",68VEE_314," 1.6.4.2                                                    (ENZYME |                                                 KEGG)                                                ", fluorimetry, potassium phosphate
1737, glutathione reductase (NAD(P)H), 2 reduced glutathione(aq) + NADP(aq) =  oxidized glutathione(aq) + NADPH(aq),311.15,6.90,0.25,1.56E-2,,,,,
