index,Enzyme:,Reaction:,T(K),pH ,pMg ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3614, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,2.08,0.30,Kleczkowski L.A.; Randall D.D.; J. Exp. Bot.; 42 537 (1991).,91KLE/RAN_654," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, Tricine (0.10 mol dm-3)
3615, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,2.17,0.32,,,,,
3616, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,2.28,0.34,,,,,
3617, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,2.49,0.46,,,,,
3618, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,2.68,0.67,,,,,
3619, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,3.00,0.92,,,,,
3620, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,3.04,1.06,,,,,
3621, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,3.20,1.14,,,,,
3622, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,3.84,1.28,,,,,
3623, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,4.37,0.92,,,,,
3624, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,4.88,0.52,,,,,
3625, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,5.37,0.49,,,,,
3626, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,5.53,0.37,,,,,
3627, adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),298.15,8.0,5.83,0.34,,,,,
