index,Enzyme:,Reaction:,T(K),pH ,"c(MgCl2,mol dm<sup>-3</sup>)",K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3554, alkaline phosphatase, D-glucose 6-phosphate(aq) + H2O(l) = D-glucose(aq) + orthophosphate(aq),308.15,7.0,0.100,56,Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_776," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", chromatography and radioactivity, Mops (0.10 mol dm-3) + KOH
3555, alkaline phosphatase, D-glucose 6-phosphate(aq) + H2O(l) = D-glucose(aq) + orthophosphate(aq),308.15,7.0,0,55,,,,,
