index,Enzyme:,Reaction:,T(K),solvent ,K ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
4023, triacylglycerol lipase, dodecyldodecanoate(sln) + H2O(sln) = 1-dodecanol(sln) + 1-dodecanoic acid(sln),298.15,224-trimethylpentane,0.0368,Tewari Y.B.; J. Chem. Eng. Data; 43 750 (1998).,98TEW_727," 3.1.1.3                                                    (ENZYME |                                                 KEGG)                                                ", HPLC GC and Karl Fischer analysis,
4024, triacylglycerol lipase, dodecyldodecanoate(sln) + H2O(sln) = 1-dodecanol(sln) + 1-dodecanoic acid(sln),298.15,cyclohexane,0.0429,,,,,
4025, triacylglycerol lipase, dodecyldodecanoate(sln) + H2O(sln) = 1-dodecanol(sln) + 1-dodecanoic acid(sln),298.15,heptane,0.0283,,,,,
4026, triacylglycerol lipase, dodecyldodecanoate(sln) + H2O(sln) = 1-dodecanol(sln) + 1-dodecanoic acid(sln),298.15,hexane,0.0253,,,,,
4027, triacylglycerol lipase, dodecyldodecanoate(sln) + H2O(sln) = 1-dodecanol(sln) + 1-dodecanoic acid(sln),298.15,toluene,0.0559,,,,,
