index,Enzyme:,Reaction:,T(K),pH ,I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1738, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.88,0.25,28,"Veech R.L.; ""Measurement of Respiratory Metabolism in Animal Tissues""; Thesis Oxford University (1968).",68VEE_583," 1.2.1.12 & 2.7.2.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate
1739, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.89,0.25,41,,,,,
1740, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.91,0.25,45,,,,,
1741, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.92,0.25,35,,,,,
1742, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.94,0.25,41,,,,,
1743, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.97,0.25,68,,,,,
1744, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.98,0.25,61,,,,,
1745, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,6.99,0.25,58,,,,,
1746, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,7.00,0.25,59,,,,,
1747, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,7.01,0.25,71,,,,,
1748, glyceraldehyde-3-phosphate dehydrogenase and phosphoglycerate kinase, D-glyceraldehyde 3-phosphate(aq) + ADP(aq) + NAD(aq) + orthophosphate(aq) = 3-phospho-D-glycerate(aq) + ATP(aq) + NADH(aq),311.15,7.02,0.25,78,,,,,
