index,Enzyme:,Reaction:,T(K),pH ,K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2383, fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)",282.15,8.8,6.4E-5,Kurski M.D.; Kondratyook T.P.; Litvinenko L.T.; Kosterin S.O.; Dopov. Akad. Nauk. Ukr. RSR Ser. B: Geol. Geofiz. Khim. Biol.;3 256 (1975).,75KUR/KON_1095," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ",, Tris + acetate
2384, fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)",296.15,8.8,3.90E-4,,,,,
2385, fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)",303.15,8.8,6.10E-4,,,,,
2386, fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)",313.15,8.8,5.20E-4,,,,,
