index,Enzyme:,Reaction:,T(K),pH ,buffer ,"c(KCl,mol dm<sup>-3</sup>)",δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2790, alkaline phosphatase, GMP(aq) + H2O(l) = guanosine(aq) + orthophosphate(aq),298.15,9.0,Hepes,0.60,2.7,Hinz H.J.; Pollwein P.; Schmidt R.; Zimmerman F.; Arch. Biochem. Biophys.; 212 72 (1981).,81HIN/POL_781," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris and Hepes
2791, alkaline phosphatase, GMP(aq) + H2O(l) = guanosine(aq) + orthophosphate(aq),298.15,9.0,Tris,0.60,2.6,,,,,
