index,Enzyme:,Reaction:,T(K),pH ,"c(MgCl2,mol dm<sup>-3</sup>)",K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
3552, alkaline phosphatase, ethylene glycol phosphate(aq) + H2O(l) = ethylene glycol(aq) + orthophosphate(aq),308.15,7.0,0.10,59,Romero P.J.; de Meis L.; J. Biol. Chem.; 264 7869 (1989).,89ROM/DEM_761," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", chromatography and radioactivity, Mops (0.10 mol dm-3) + KOH
3553, alkaline phosphatase, ethylene glycol phosphate(aq) + H2O(l) = ethylene glycol(aq) + orthophosphate(aq),308.15,7.0,0,60,,,,,
