index,Enzyme:,Reaction:,T(K),pH ,buffer(mol dm<sup>-3</sup>),I<sub>c</sub> ,K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
413, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),277.8,7.30,phosphate (0.05 mol dm-3),0.10,7.22,Bock R.M.; Alberty R.A.; J. Am. Chem. Soc.; 75 1921 (1953).,53BOC/ALB_1146," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate and acetate
414, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),277.8,7.30,phosphate (0.05 mol dm-3),0.10,7.37,,,,,
415, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),277.9,4.91,acetate (0.20 mol dm-3),0.10,8.14,,,,,
416, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),290.6,4.91,acetate (0.20 mol dm-3),0.10,7.36,,,,,
417, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),290.6,4.91,acetate (0.20 mol dm-3),0.10,7.51,,,,,
418, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),290.8,4.91,acetate (0.20 mol dm-3),0.10,7.01,,,,,
419, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),290.8,4.91,acetate (0.20 mol dm-3),0.10,7.08,,,,,
420, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),290.8,4.91,acetate (0.20 mol dm-3),0.10,7.20,,,,,
421, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),290.8,7.30,phosphate (0.05 mol dm-3),0.10,5.61,,,,,
422, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),290.8,7.30,phosphate (0.05 mol dm-3),0.10,5.68,,,,,
423, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),291.2,7.30,phosphate (0.05 mol dm-3),0.10,5.54,,,,,
424, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),291.2,7.30,phosphate (0.05 mol dm-3),0.10,5.70,,,,,
425, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),292.6,4.91,acetate (0.20 mol dm-3),0.10,6.69,,,,,
426, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),292.6,4.91,acetate (0.20 mol dm-3),0.10,6.88,,,,,
427, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),293.3,7.30,phosphate (0.05 mol dm-3),0.10,5.04,,,,,
428, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),293.4,7.30,phosphate (0.05 mol dm-3),0.10,4.99,,,,,
429, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),294.1,7.30,phosphate (0.05 mol dm-3),0.10,4.82,,,,,
430, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),294.1,7.30,phosphate (0.05 mol dm-3),0.10,4.88,,,,,
431, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),295.2,4.91,acetate (0.20 mol dm-3),0.10,6.34,,,,,
432, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,4.06,?,0.05,9.49,,,,,
433, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,5.00,?,0.05,5.66,,,,,
434, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,5.05,?,0.05,4.66,,,,,
435, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,6.00,?,0.05,4.55,,,,,
436, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,6.01,?,0.05,4.42,,,,,
437, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,6.06,?,0.05,4.47,,,,,
438, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,7.3,phosphate,0.0011,4.28,,,,,
439, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,7.3,phosphate,0.010,4.37,,,,,
440, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,7.3,phosphate,0.049 ,4.44,,,,,
441, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,7.3,phosphate,0.100 ,4.59,,,,,
442, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,7.3,phosphate,0.25,4.87,,,,,
443, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,7.99,?,0.05,4.31,,,,,
444, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,8.00,?,0.05,4.35,,,,,
445, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),298.15,9.01,?,0.05,4.43,,,,,
446, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),303.6,7.30,phosphate (0.05 mol dm-3),0.10,4.69,,,,,
447, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),303.6,7.30,phosphate (0.05 mol dm-3),0.10,4.85,,,,,
448, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),304.1,7.30,phosphate (0.05 mol dm-3),0.10,4.68,,,,,
449, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),304.1,7.30,phosphate (0.05 mol dm-3),0.10,4.74,,,,,
450, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),307.3,7.30,phosphate (0.05 mol dm-3),0.10,3.97,,,,,
451, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),307.5,4.91,acetate (0.20 mol dm-3),0.10,5.94,,,,,
452, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),307.5,7.30,phosphate (0.05 mol dm-3),0.10,3.93,,,,,
453, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),307.5,7.30,phosphate (0.05 mol dm-3),0.10,4.00,,,,,
454, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),307.6,7.30,phosphate (0.05 mol dm-3),0.10,3.97,,,,,
455, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),307.7,7.30,phosphate (0.05 mol dm-3),0.10,4.01,,,,,
456, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),308.3,7.30,phosphate (0.05 mol dm-3),0.10,3.72,,,,,
457, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),308.3,7.30,phosphate (0.05 mol dm-3),0.10,3.81,,,,,
458, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),313.0,7.30,phosphate (0.05 mol dm-3),0.10,3.11,,,,,
459, fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),313.0,7.30,phosphate (0.05 mol dm-3),0.10,3.13,,,,,
