index,Enzyme:,Reaction:,T(K),pH ,buffer ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2124, phosphohydrolase (unclassified), ethylene phosphate(aq) + H2O(l) = 2-hydroxyethyl phosphate(aq),298.15,7.3,Pipes,-39.5,Sturtevant J.M.; Gerlt J.A.; Westheimer F.H.; J. Am. Chem. Soc.; 95 8168 (1973).,73STU/GER_843," 3.1.4.-                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Pipes (0.05 mol dm-3) and Tris (0.05 mol dm-3)
2125, phosphohydrolase (unclassified), ethylene phosphate(aq) + H2O(l) = 2-hydroxyethyl phosphate(aq),298.15,7.3,Tris,-69.5,,,,,
