index,Enzyme:,Reaction:,T(K),pH ,I<sub>m</sub>(mol.kg<sup>-1</sup>),δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
3774, histidine ammonia-lyase, L-histidine(aq) = urocanate(aq) + ammonia(aq),298.15,8.15,0.30,9.24,Larson J.W.; Tewari Y.B.; Goldberg R.N.; J. Chem. Thermodyn. 25 73 (1993).,93LAR/TEW_1218," 4.3.1.3                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate
3775, histidine ammonia-lyase, L-histidine(aq) = urocanate(aq) + ammonia(aq),310.15,8.15,0.29,9.44,,,,,
