index,Enzyme:,Reaction:,T(K),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
115, _-glucosidase, 2-methyl-1-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-methyl-1-propanol(aq) + D-glucose(aq),277.15,11.2,Veibel S.; Enzymologia; 1 124 (1936).,36VEI_923," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", polarimetry,
116, _-glucosidase, 2-methyl-1-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-methyl-1-propanol(aq) + D-glucose(aq),303.15,11.9,,,,,
