index,Enzyme:,Reaction:,T(K),pH ,"c(Mg2+,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
2823, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.81,0,0.25,85.4,Merrill D.K.; McAlexander J.C.; Guynn R.W.; Arch. Biochem. Biophys.; 212 717 (1981).,81MER/MCA_539," 2.6.1.52                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, phosphate (0.025 mol dm-3)
2824, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.83,0,0.25,78.0,,,,,
2825, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.91,0,0.25,87.7,,,,,
2826, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.92,0,0.25,100,,,,,
2827, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.92,0,0.25,82.6,,,,,
2828, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.94,0,0.25,83.7,,,,,
2829, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.94,0,0.25,90.7,,,,,
2830, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.94,0,0.25,93.9,,,,,
2831, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.94,0,0.25,98.8,,,,,
2832, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.96,0,0.25,81.8,,,,,
2833, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.98,0,0.25,101,,,,,
2834, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.98,0,0.25,85.0,,,,,
2835, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,6.98,0,0.25,88.1,,,,,
2836, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.07,101,,,,,
2837, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.07,103,,,,,
2838, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.07,110,,,,,
2839, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.07,112,,,,,
2840, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.25,89.5,,,,,
2841, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.50,69.5,,,,,
2842, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.50,73.9,,,,,
2843, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.50,74.6,,,,,
2844, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.50,84.7,,,,,
2845, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.75,64.0,,,,,
2846, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.75,65.5,,,,,
2847, phosphoserine transaminase, 3-phosphonooxypyruvate(aq) + L-glutamate(aq) = 2-oxoglutarate(aq) + O-phospho-L-serine(aq),311.15,7.00,0,0.75,67.9,,,,,
