index,Enzyme:,Reaction:,T(K),pH ,"c(KCl,mol dm<sup>-3</sup>)",δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2785, myosin ATPase, GTP(aq) + H2O(l) = GDP(aq) + orthophosphate(aq),298.15,8.0,0.60,-70.6,Hinz H.J.; Pollwein P.; Schmidt R.; Zimmerman F.; Arch. Biochem. Biophys.; 212 72 (1981).,81HIN/POL_1076," 3.6.1.32                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris (0.1 mol dm-3)
2786, myosin ATPase, GTP(aq) + H2O(l) = GDP(aq) + orthophosphate(aq),298.15,9.0,0.60,-71.4,,,,,
