index,Enzyme:,Reaction:,T(K),pH ,I<sub>m</sub>(mol.kg<sup>-1</sup>),δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
3790, arginase, L-arginine(aq) + H2O(l) = L-ornithine(aq) + urea(aq),298.15,6.47,0.254,-21.83,Tewari Y.B.; Kishore N.K.; Margolis S.A.; Goldberg R.N.; Shibatani T.; J. Chem. Thermodyn. 25 293 (1993).,93TEW/KIS_1047," 3.5.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, phosphate
3791, arginase, L-arginine(aq) + H2O(l) = L-ornithine(aq) + urea(aq),298.15,6.94,0.271,-21.51,,,,,
3792, arginase, L-arginine(aq) + H2O(l) = L-ornithine(aq) + urea(aq),298.15,7.46,0.294,-21.22,,,,,
3793, arginase, L-arginine(aq) + H2O(l) = L-ornithine(aq) + urea(aq),298.15,7.67,0.303,-21.15,,,,,
3794, arginase, L-arginine(aq) + H2O(l) = L-ornithine(aq) + urea(aq),298.15,7.79,0.818,-21.53,,,,,
3795, arginase, L-arginine(aq) + H2O(l) = L-ornithine(aq) + urea(aq),298.15,7.83,0.493,-21.31,,,,,
3796, arginase, L-arginine(aq) + H2O(l) = L-ornithine(aq) + urea(aq),298.15,7.94,0.304,-20.94,,,,,
3797, arginase, L-arginine(aq) + H2O(l) = L-ornithine(aq) + urea(aq),298.15,8.27,0.306,-21.01,,,,,
3798, arginase, L-arginine(aq) + H2O(l) = L-ornithine(aq) + urea(aq),304.65,7.87,0.298,-21.47,,,,,
3799, arginase, L-arginine(aq) + H2O(l) = L-ornithine(aq) + urea(aq),310.25,7.86,0.297,-22.03,,,,,
