index,Enzyme:,Reaction:,T(K),pH ,buffer ,"c(KCl,mol dm<sup>-3</sup>)",δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2787, alkaline phosphatase, GDP(aq) + 2 H2O(l) = guanosine(aq) + 2 orthophosphate(aq),298.15,8.0,Hepes,0.60,-43.6,Hinz H.J.; Pollwein P.; Schmidt R.; Zimmerman F.; Arch. Biochem. Biophys.; 212 72 (1981).,81HIN/POL_769," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris and Hepes
2788, alkaline phosphatase, GDP(aq) + 2 H2O(l) = guanosine(aq) + 2 orthophosphate(aq),298.15,9.0,Hepes,0.60,-42.8,,,,,
2789, alkaline phosphatase, GDP(aq) + 2 H2O(l) = guanosine(aq) + 2 orthophosphate(aq),298.15,9.0,Tris,0.60,-69.2,,,,,
