index,Enzyme:,Reaction:,T(K),pH ,"c(Mg2+,mol dm<sup>-3</sup>)",I<sub>c</sub>(mol dm<sup>-3</sup>),K<sub>c</sub>' ,Reference:,Reference ID:,EC Value:,Method:,Buffer:
1356, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00031,0.1,0.118,Tate S.S.; Datta S.P.; Biochem. J.; 94 470 (1965).,65TAT/DAT_1126," 4.1.3.6                                                    (ENZYME |                                                 KEGG)                                                ", chemical analysis and spectrophotometry, triethanolamine + HCl
1357, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00032,0.1,0.138,,,,,
1358, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00061,0.1,0.0592,,,,,
1359, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00062,0.1,0.123,,,,,
1360, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00063,0.1,0.0739,,,,,
1361, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00063,0.1,0.0986,,,,,
1362, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00069,0.1,0.0640,,,,,
1363, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00101,0.1,0.0667,,,,,
1364, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00136,0.1,0.0430,,,,,
1365, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00165,0.1,0.0457,,,,,
1366, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00378,0.1,0.0293,,,,,
1367, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00609,0.1,0.0218,,,,,
1368, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00855,0.1,0.0159,,,,,
1369, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00858,0.1,0.0178,,,,,
1370, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00892,0.1,0.0176,,,,,
1371, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00932,0.1,0.0243,,,,,
1372, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.00966,0.1,0.0251,,,,,
1373, citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),298.15,8.4,0.01097,0.1,0.0184,,,,,
