index,Enzyme:,Reaction:,T(K),pH ,δ<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
3445, mannose-6-phosphate isomerase, D-mannose 6-phosphate(aq) = D-fructose 6-phosphate(aq),298.15,8.50,8.46,Tewari Y.B.; Steckler D.K.; Goldberg R.N.; J. Biol. Chem.; 263 3664 (1988).,88TEW/STE_1348," 5.3.1.8                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Tris (0.1 mol dm-3)
3446, mannose-6-phosphate isomerase, D-mannose 6-phosphate(aq) = D-fructose 6-phosphate(aq),304.74,8.50,8.71,,,,,
