index,Enzyme:,Reaction:,T(K),pH ,"c(MgCl2,mol dm<sup>-3</sup>)",δ<sub>r</sub>H'<sup>o</sup>(kJ.mol<sup>-1</sup>),Reference:,Reference ID:,EC Value:,Method:,Buffer:
2309, phosphohydrolase (unclassified), adenosine 3':5'-(cyclic)phosphate(aq) + H2O(l) = adenosine 3'-monophosphate(aq),298.15,7.3,0.001,-48.1,Gerlt J.A.; Westheimer F.H.; Sturtevant J.M.; J. Biol. Chem.; 250 5059 (1975).,75GER/WES_839," 3.1.4.-                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, Pipes (0.05 mol dm-3)
2310, phosphohydrolase (unclassified), adenosine 3':5'-(cyclic)phosphate(aq) + H2O(l) = adenosine 3'-monophosphate(aq),310.15,7.2,0.001,-46.4,,,,,
